,cds,ccode,enroll_12,num_act,act_pass_21,num_sat_12,sat_pass_12,enroll_11,num_sat_11,sat_pass_11,act_pt_r,act_ps_r,sat_pt_r_12,sat_ps_r_12,sat_pt_r_11,sat_ps_r_11,sat_pt_r,sat_ps_r
357,43696664330080,43.0,246.0,17.0,11,49.0,31.0,243.0,208.0,43.0,0.034552845528455285,0.044715447154471545,0.1991869918699187,0.6326530612244898,0.8559670781893004,0.20673076923076922,0.5255623721881391,0.15132924335378323
358,24736192431807,24.0,140.0,28.0,8,18.0,3.0,148.0,70.0,23.0,0.1,0.05714285714285714,0.12857142857142856,0.16666666666666666,0.47297297297297297,0.32857142857142857,0.3055555555555556,0.09027777777777778
359,41688904132817,41.0,223.0,65.0,50,77.0,44.0,253.0,70.0,55.0,0.14573991031390135,0.2242152466367713,0.3452914798206278,0.5714285714285714,0.2766798418972332,0.7857142857142857,0.3088235294117647,0.20798319327731093
360,11765621133701,11.0,86.0,30.0,7,25.0,4.0,48.0,24.0,7.0,0.1744186046511628,0.08139534883720931,0.29069767441860467,0.16,0.5,0.2916666666666667,0.3656716417910448,0.08208955223880597
361,16639251634401,16.0,335.0,18.0,9,79.0,26.0,387.0,65.0,29.0,0.026865671641791045,0.026865671641791045,0.23582089552238805,0.3291139240506329,0.16795865633074936,0.4461538461538462,0.1994459833795014,0.07617728531855955
362,16639251630169,16.0,301.0,17.0,9,66.0,24.0,291.0,55.0,25.0,0.02823920265780731,0.029900332225913623,0.21926910299003322,0.36363636363636365,0.18900343642611683,0.45454545454545453,0.20439189189189189,0.08277027027027027
363,44698234432340,44.0,179.0,45.0,17,65.0,39.0,192.0,81.0,56.0,0.12569832402234637,0.09497206703910614,0.36312849162011174,0.6,0.421875,0.691358024691358,0.3935309973045822,0.2560646900269542
364,54755230116590,54.0,109.0,38.0,21,75.0,36.0,130.0,52.0,34.0,0.1743119266055046,0.1926605504587156,0.6880733944954128,0.48,0.4,0.6538461538461539,0.5313807531380753,0.2928870292887029
365,19643521933951,19.0,498.0,124.0,20,199.0,23.0,462.0,175.0,29.0,0.12449799196787148,0.040160642570281124,0.39959839357429716,0.11557788944723618,0.3787878787878788,0.1657142857142857,0.38958333333333334,0.05416666666666667
366,19645920100354,19.0,112.0,112.0,49,64.0,41.0,128.0,106.0,78.0,0.5,0.4375,0.5714285714285714,0.640625,0.828125,0.7358490566037735,0.7083333333333334,0.49583333333333335
367,01611920133629,1.0,355.0,37.0,21,135.0,46.0,383.0,75.0,40.0,0.05211267605633803,0.059154929577464786,0.38028169014084506,0.34074074074074073,0.195822454308094,0.5333333333333333,0.2845528455284553,0.11653116531165311
368,49753904932554,49.0,139.0,36.0,29,47.0,28.0,125.0,49.0,29.0,0.12949640287769784,0.20863309352517986,0.3381294964028777,0.5957446808510638,0.392,0.5918367346938775,0.36363636363636365,0.2159090909090909
369,39686760123802,39.0,96.0,41.0,11,74.0,15.0,131.0,71.0,21.0,0.21354166666666666,0.11458333333333333,0.7708333333333334,0.20270270270270271,0.5419847328244275,0.29577464788732394,0.6387665198237885,0.15859030837004406
370,30666700114736,30.0,627.0,72.0,33,582.0,179.0,569.0,368.0,162.0,0.05741626794258373,0.05263157894736842,0.9282296650717703,0.3075601374570447,0.6467486818980668,0.44021739130434784,0.794314381270903,0.28511705685618727
371,19647330117069,19.0,124.0,34.0,4,43.0,4.0,114.0,94.0,11.0,0.13709677419354838,0.03225806451612903,0.3467741935483871,0.09302325581395349,0.8245614035087719,0.11702127659574468,0.5756302521008403,0.06302521008403361
372,37681303732732,37.0,578.0,239.0,134,238.0,148.0,592.0,323.0,243.0,0.20674740484429066,0.23183391003460208,0.4117647058823529,0.6218487394957983,0.5456081081081081,0.7523219814241486,0.4794871794871795,0.33418803418803417
373,33670823332673,33.0,573.0,18.0,13,405.0,98.0,600.0,53.0,33.0,0.015706806282722512,0.02268760907504363,0.7068062827225131,0.2419753086419753,0.08833333333333333,0.6226415094339622,0.39045183290707586,0.11167945439045183
374,37683383732781,37.0,506.0,138.0,104,225.0,145.0,580.0,311.0,244.0,0.13636363636363635,0.20553359683794467,0.44466403162055335,0.6444444444444445,0.5362068965517242,0.7845659163987139,0.49355432780847147,0.358195211786372
375,36677103630902,36.0,516.0,467.0,63,227.0,63.0,472.0,411.0,93.0,0.45251937984496127,0.12209302325581395,0.43992248062015504,0.2775330396475771,0.8707627118644068,0.22627737226277372,0.645748987854251,0.15789473684210525
